path, Rfree
../pdb/3c_like_proteinase/SARS-CoV-2/6y84 0.2
../pdb/3c_like_proteinase/SARS-CoV/5n19 0.20045
../pdb/3c_like_proteinase/SARS-CoV/3szn 0.20669
../pdb/3c_like_proteinase/SARS-CoV/2op9 0.207
../pdb/3c_like_proteinase/SARS-CoV/2qcy 0.208
../pdb/3c_like_proteinase/SARS-CoV/2zu5 0.208
../pdb/3c_like_proteinase/SARS-CoV-2/5r8t 0.2081
../pdb/3c_like_proteinase/SARS-CoV-2/5rfu 0.2098
../pdb/3c_like_proteinase/SARS-CoV-2/5rfd 0.211
../pdb/3c_like_proteinase/SARS-CoV/2v6n 0.211
../pdb/3c_like_proteinase/SARS-CoV-2/5red 0.2112
../pdb/3c_like_proteinase/SARS-CoV-2/5r82 0.2116
../pdb/3c_like_proteinase/SARS-CoV/4mds 0.21227
../pdb/3c_like_proteinase/SARS-CoV-2/5rfc 0.2128
../pdb/3c_like_proteinase/SARS-CoV-2/5rf8 0.2132
../pdb/3c_like_proteinase/SARS-CoV-2/5rfe 0.2136
../pdb/3c_like_proteinase/SARS-CoV/2h2z 0.214
../pdb/3c_like_proteinase/SARS-CoV-2/5rfa 0.2151
../pdb/3c_like_proteinase/SARS-CoV-2/5rf9 0.2154
../pdb/3c_like_proteinase/SARS-CoV-2/5rfx 0.2163
../pdb/3c_like_proteinase/SARS-CoV-2/5rf7 0.2169
../pdb/3c_like_proteinase/SARS-CoV/2gt7 0.21694
../pdb/3c_like_proteinase/SARS-CoV-2/5rf6 0.2174
../pdb/3c_like_proteinase/SARS-CoV-2/6y2f 0.2191
../pdb/3c_like_proteinase/SARS-CoV/3tnt 0.21916
../pdb/3c_like_proteinase/SARS-CoV-2/5rf3 0.221
../pdb/3c_like_proteinase/SARS-CoV/2duc 0.221
../pdb/3c_like_proteinase/SARS-CoV/2hob 0.221
../pdb/3c_like_proteinase/SARS-CoV-2/6w63 0.2214
../pdb/3c_like_proteinase/SARS-CoV-2/5rf2 0.2216
../pdb/3c_like_proteinase/SARS-CoV-2/5rev 0.2217
../pdb/3c_like_proteinase/SARS-CoV-2/5ret 0.222
../pdb/3c_like_proteinase/SARS-CoV-2/5rfw 0.2232
../pdb/3c_like_proteinase/SARS-CoV-2/5rfb 0.2235
